 Statistics List (1),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
2024.05.08,,,,,,
,,,,,,
Level,Statistics,URL,Organization,Period,Course,Course(LIST_ID)
1,Population,,,,Statistical Database -> Population, -> A
2,     Population Census,,,,Statistical Database -> Population -> Population Census, -> A -> A_4
3,          Population Sector,,,,Statistical Database -> Population -> Population Census -> Population Sector, -> A -> A_4 -> A11
4,               Population By Census (2015~),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2015~), -> A -> A_4 -> A11 -> A11_2015_1
5,"                    Population, Households and Housing Units",Statistics Table,Statistics Korea,Annual (2015 ~ 2022),"Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2015~) -> Population, Households and Housing Units", -> A -> A_4 -> A11 -> A11_2015_1 -> 
4,               Population By Census Generalization (1925~2010),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census Generalization (1925~2010), -> A -> A_4 -> A11 -> A111
5,                    Summary of Census Population(by administrative district/sex/age),Statistics Table,Statistics Korea,5Annual (1925 ~ 2010),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census Generalization (1925~2010) -> Summary of Census Population(by administrative district/sex/age), -> A -> A_4 -> A11 -> A111 -> 
5,                    Summary of Census Population(by administrative district/sex/age),Statistics Table,Statistics Korea,5Annual (1925 ~ 2010),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census Generalization (1925~2010) -> Summary of Census Population(by administrative district/sex/age), -> A -> A_4 -> A11 -> A111 -> 
5,                    Summary of Census Population(by administrative district/sex/age),Statistics Table,Statistics Korea,5Annual (1925 ~ 2010),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census Generalization (1925~2010) -> Summary of Census Population(by administrative district/sex/age), -> A -> A_4 -> A11 -> A111 -> 
4,               Population By Census (2010),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2010), -> A -> A_4 -> A11 -> A11_2010
5,"                    Population, Households and Housing Units",Statistics Table,Statistics Korea,5Annual (2010 ~ 2010),"Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2010) -> Population, Households and Housing Units", -> A -> A_4 -> A11 -> A11_2010 -> 
4,               Population By Census (2005),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2005), -> A -> A_4 -> A11 -> A11I
5,"                    Population, Households and Housing Units",Statistics Table,Statistics Korea,5Annual (2005 ~ 2005),"Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2005) -> Population, Households and Housing Units", -> A -> A_4 -> A11 -> A11I -> 
4,               Population By Census (2000),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2000), -> A -> A_4 -> A11 -> A112
5,"                    Population, Households and Housing Units by Administrative District",Statistics Table,Statistics Korea,5Annual (2000 ~ 2000),"Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (2000) -> Population, Households and Housing Units by Administrative District", -> A -> A_4 -> A11 -> A112 -> 
4,               Population By Census (1995),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1995), -> A -> A_4 -> A11 -> A113
5,                    Population & households by administrative district,Statistics Table,Statistics Korea,5Annual (1995 ~ 1995),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1995) -> Population & households by administrative district, -> A -> A_4 -> A11 -> A113 -> 
4,               Population By Census (1990),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1990), -> A -> A_4 -> A11 -> A114
5,                    Population & households by administrative district,Statistics Table,Statistics Korea,5Annual (1990 ~ 1990),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1990) -> Population & households by administrative district, -> A -> A_4 -> A11 -> A114 -> 
4,               Population By Census (1985),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1985), -> A -> A_4 -> A11 -> A115
5,                    Population & households by administrative district,Statistics Table,Statistics Korea,5Annual (1985 ~ 1985),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1985) -> Population & households by administrative district, -> A -> A_4 -> A11 -> A115 -> 
4,               Population By Census (1980),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1980), -> A -> A_4 -> A11 -> A116
5,                    Population & households by administrative district,Statistics Table,Statistics Korea,5Annual (1980 ~ 1980),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1980) -> Population & households by administrative district, -> A -> A_4 -> A11 -> A116 -> 
4,               Population By Census (1975),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1975), -> A -> A_4 -> A11 -> A117
5,                    Population & households by administrative district,Statistics Table,Statistics Korea,5Annual (1975 ~ 1975),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1975) -> Population & households by administrative district, -> A -> A_4 -> A11 -> A117 -> 
4,               Population By Census (1970),,,,Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1970), -> A -> A_4 -> A11 -> A118
5,                    Population & households by administrative district,Statistics Table,Statistics Korea,5Annual (1970 ~ 1970),Statistical Database -> Population -> Population Census -> Population Sector -> Population By Census (1970) -> Population & households by administrative district, -> A -> A_4 -> A11 -> A118 -> 
3,          Household,,,,Statistical Database -> Population -> Population Census -> Household, -> A -> A_4 -> A12
4,               Household By Census (2015~),,,,Statistical Database -> Population -> Population Census -> Household -> Household By Census (2015~), -> A -> A_4 -> A12 -> A12_2015_1
5,                    Households and Household Members by Type of Household,Statistics Table,Statistics Korea,Annual (2015 ~ 2022),Statistical Database -> Population -> Population Census -> Household -> Household By Census (2015~) -> Households and Household Members by Type of Household, -> A -> A_4 -> A12 -> A12_2015_1 -> 
4,               Household Of Census Generalization  (1980~2010),,,,Statistical Database -> Population -> Population Census -> Household -> Household Of Census Generalization  (1980~2010), -> A -> A_4 -> A12 -> A121
5,                    Summary of census household(by administrative district/living quarters),Statistics Table,Statistics Korea,5Annual (1980 ~ 2010),Statistical Database -> Population -> Population Census -> Household -> Household Of Census Generalization  (1980~2010) -> Summary of census household(by administrative district/living quarters), -> A -> A_4 -> A12 -> A121 -> 
4,               Household By Census (2010),,,,Statistical Database -> Population -> Population Census -> Household -> Household By Census (2010), -> A -> A_4 -> A12 -> A12_2010
5,                    Households and Household Members by Type of Household,Statistics Table,Statistics Korea,5Annual (2010 ~ 2010),Statistical Database -> Population -> Population Census -> Household -> Household By Census (2010) -> Households and Household Members by Type of Household, -> A -> A_4 -> A12 -> A12_2010 -> 
